asset_id,asset_type,name,source_url,recommended_action,rights_status,priority
A001,link card,Book listing: Coltivazione biologica e integrata di piccoli frutti,https://www.libreriauniversitaria.it/coltivazione-biologica-integrata-piccoli-frutti/book/9786200841117,Create a Publications card linking to the book listing. Use the title/subtitle and author info. Ask Michele for cover image rights or original cover file before embedding.,safe_to_link; permission_needed_for_cover_image,high
A002,link card,ItalianBerry book article,https://italianberry.it/news/piccoli-frutti-un8217analisi-degli-impianti-in-italia-settentrionale-1405,Create a 'Rassegna stampa' or 'Approfondimenti' card. Link out. Use a short paraphrased description.,safe_to_link; do_not_reuse_images_without_permission,high
A003,link card,ItalianBerry Macfrut 2025 article,https://italianberry.it/news/tecniche-sostenibili-di-coltivazione-dei-piccoli-frutti-i-nuovi-protocolli-macfrut-2025,Create a recent-news card on Macfrut 2025 / Berry Area. Link to the article.,safe_to_link; do_not_reuse_images_without_permission,high
A004,external PDF link,Macfrut/Berry Area 2025 presentation PDF,https://flipbook.ncx.it/italianberry/metodi-di-concimazione-innovativi-per-il-mirtillo-michele-ghezzi-berry-area-macfrut-2025.pdf,Add a button: 'Apri la presentazione Macfrut 2025'. Link externally. Do not host a local copy unless permission granted.,safe_to_link; permission_needed_to_embed_or_rehost,high
A005,link card,Macfrut 2025 official program,https://www.macfrut.com/en/meeting/563/,Use as official source for a speaker/event card.,safe_to_link,high
A006,link card,Macfrut 2026 official technical session,https://www.macfrut.com/en/meeting/658/berry_area___technical_session,Use as official source for a recent-event card.,safe_to_link,high
A007,external presentation index,ItalianBerry 2026 presentation index,https://italianberry.it/news/berry-area-2026-sfoglia-e-scarica-tutte-le-presentazioni,Link from the event card if the 2026 presentation is available and Michele approves.,safe_to_link; permission_needed_to_embed_or_rehost,medium-high
A008,link card,Cosmogarden 2024 event page,https://www.cosmogarden.it/evento/coltivazione-biologica-integrata-di-piccoli-frutti-esperienze-in-impianti-in-nord-italia/,Use in event archive; link externally.,safe_to_link; images_permission_needed,medium-high
A009,external PDF link,Fondazione Fojanini course PDF,https://www.fondazionefojanini.it/files/news_attachments/653/Corso%20transizione%20ecologica.docx.pdf,Use as source for 'Formazione' section. Link externally if desired.,safe_to_link; permission_needed_to_rehost,medium
A010,link card,CLT / Fondazione Fojanini experimentation article,https://www.lombricolturaclt.it/sperimentazione-dei-prodotti-clt-alla-fondazione-fojanini/,Use in 'Sperimentazioni e collaborazioni' section after Michele confirms exact relationship wording.,safe_to_link; logos_images_permission_needed,medium-high
A011,needed first-party asset,Professional headshot of Michele,ask_Michele,Ask Michele for a high-resolution portrait he owns or has permission to use. Use as main About/hero image.,must_be_supplied_or_licensed_by_Michele,high
A012,needed first-party asset,Field / greenhouse / small-fruit photos,ask_Michele,"Ask for 5-10 original photos from farms, blueberries, raspberries, soilless systems, soil/fertigation work. Avoid client-identifiable locations unless clients approve.",must_be_supplied_or_licensed_by_Michele; client_permission_if_identifiable,high
A013,needed first-party asset,Book cover image,ask_Michele_or_publisher,"Ask Michele whether he has the right to show the cover on his personal site. If yes, place it in Publications. If not, use text link only.",permission_needed,medium-high
A014,logo set,"Macfrut, ItalianBerry, Cosmogarden, Fondazione Fojanini, CLT logos",public_sites,Prefer text links. Use logos only if brand guidelines or explicit permission permit. Do not scrape images.,permission_or_brand_guideline_review_needed,low-medium
